Client_ID,Client_Type,Client_Verification,Client_Location,Cargo_ID,Cargo_Type,Cargo_Value,Cargo_Weight,Transporter,Route,Border_Point,GPS_Location,KRA_Lock,KRA_Penalty,Incident_Type,Incident_Location,Incident_Report_Date,Cargo_Risk,Estimated_Loss
1,Business,1,Nairobi,1001,Electronics,351352.6,3988.19,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.2454), np.float64(36.9028))",0,7259.68,Theft,Border,2022-03-12,High,168401.91
2,Individual,0,Kigali,1002,Electronics,483699.97,4518.18,Transporter B,Nairobi-Eldoret,Busia,"(np.float64(-1.2759), np.float64(36.8267))",1,1246.74,Accident,Transit,2022-08-30,High,277605.26
3,Individual,1,Arusha,1003,Machinery,364093.9,2850.39,Transporter C,Nairobi-Eldoret,Namanga,"(np.float64(-1.2195), np.float64(36.8727))",1,14215.07,Accident,Transit,2022-03-03,High,289737.93
4,Business,1,Nairobi,1004,Electronics,359324.24,2523.71,Transporter C,Arusha-Nairobi,Taveta,"(np.float64(-1.25), np.float64(36.8932))",0,17358.07,Fraud,Border,2022-04-23,High,466074.91
5,Individual,1,Kampala,1005,Alcohol,402525.27,4311.16,Transporter A,Arusha-Kampala,Taveta,"(np.float64(-1.1972), np.float64(36.8957))",0,4390.94,Theft,Transit,2022-09-02,High,418459.67
6,Individual,0,Kampala,1006,Clothing,342471.95,4272.33,Transporter C,Nairobi-Kisumu,Busia,"(np.float64(-1.2262), np.float64(36.8714))",0,8492.95,Theft,Warehouse,2022-06-01,High,285074.97
7,Individual,0,Kampala,1007,Alcohol,234119.79,1820.52,Transporter C,Arusha-Kampala,Busia,"(np.float64(-1.28), np.float64(36.8298))",0,19815.63,Accident,Border,2022-01-08,Medium,107689.15
8,Individual,1,Kigali,1008,Machinery,155295.32,2866.53,Transporter C,Arusha-Kampala,Taveta,"(np.float64(-1.2874), np.float64(36.8538))",0,2204.43,Fraud,Border,2022-10-31,Medium,141673.0
9,Individual,0,Arusha,1009,Clothing,480503.74,4686.94,Transporter B,Arusha-Nairobi,Busia,"(np.float64(-1.2569), np.float64(36.8644))",1,2099.79,Theft,Border,2022-02-22,High,166795.44
10,Individual,1,Nairobi,1010,Electronics,340578.87,397.8,Transporter B,Arusha-Kampala,Busia,"(np.float64(-1.2152), np.float64(36.8751))",1,17632.54,Theft,Border,2022-06-01,High,346754.54
11,Individual,1,Arusha,1011,Machinery,53137.83,241.74,Transporter C,Nairobi-Kisumu,Taveta,"(np.float64(-1.2784), np.float64(36.8338))",1,4270.1,Theft,Transit,2022-07-16,Low,47878.31
12,Business,1,Nairobi,1012,Alcohol,219194.41,412.01,Transporter A,Nairobi-Kisumu,Malaba,"(np.float64(-1.2274), np.float64(36.8234))",0,13757.4,Fraud,Warehouse,2022-06-06,Medium,63297.25
13,Business,0,Arusha,1013,Alcohol,68536.44,1476.6,Transporter C,Nairobi-Eldoret,Taveta,"(np.float64(-1.2185), np.float64(36.8592))",1,6314.64,Accident,Transit,2022-04-24,Low,22275.33
14,Individual,1,Kigali,1014,Machinery,435772.36,4228.91,Transporter C,Nairobi-Eldoret,Busia,"(np.float64(-1.1921), np.float64(36.8796))",0,9472.95,Theft,Warehouse,2022-02-22,High,266020.08
